symbol	S01	S02	S03	S06	S08	S10	S11	S12	S14	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S29	S30	S31
MAP2K4	8.788	8.473	8.193	8.713	8.915	9.016	8.737	8.875	9.152	8.655	8.038	8.445	8.855	9.057	8.246	7.61	8.346	9.336	8.213	8.944	10.08	8.724	8.423	9.044
MAP3K1	9.257	7.032	5.405	9.164	9.521	5.778	9.756	8.978	8.473	8.863	5.435	9.215	9.082	8.584	7.992	5.833	8.675	6.265	7.116	8.531	8.783	8.615	8.625	9.072
MAP3K5	10.196	9.69	11.106	10.279	9.573	11.342	8.9	10.091	9.004	9.549	11.198	9.513	9.233	9.288	10.851	10.61	9.453	10.062	9.667	9.112	9.892	9.715	9.882	8.246
MAP3K7	11.067	9.413	9.41	9.634	10.15	9.479	10.374	10.02	9.833	9.993	9.215	9.707	9.971	9.782	9.874	9.233	9.823	8.261	10.343	9.624	10.36	10.229	10.062	9.27
MAP4K2	7.513	7.378	6.681	9.233	8.379	6.82	8.006	9.134	8.52	7.89	6.725	8.399	8.594	8.503	9.528	7.108	7.337	8.886	7.417	8.333	9.506	7.685	8.726	9.303
MAPK1	10.374	8.346	8.026	10.101	9.756	8.465	11.031	9.892	10.251	10.091	8.213	9.74	10.08	9.773	9.601	7.497	9.715	8.695	10.88	9.682	9.882	9.863	10.02	10.402
MAPK11	6.553	6.402	6.443	6.12	6.553	7.165	5.869	6.733	6.974	6.54	6.155	7.586	7.236	8.206	8.156	5.751	7.127	8.048	7.464	7.197	6.595	6.258	7.755	8.802
MAPK14	10.671	10.471	7.972	10.427	10.173	7.156	12.202	10.997	10.517	10.262	8.74	10.354	10.455	10.335	10.471	10.251	9.807	8.476	10.61	10.535	10.746	10.919	10.522	10.851
MAPK3	9.128	7.367	6.12	10.657	9.47	6.595	10.657	9.413	9.413	8.855	6.328	9.31	9.364	8.958	8.206	7.984	8.91	7.738	7.116	9.044	9.434	8.838	9.119	8.963
MAPK8	8.581	6.725	6.603	9.782	8.98	6.395	9.513	9.31	9.215	9.112	6.185	8.702	8.421	8.726	7.618	5.785	8.167	6.476	7.87	8.49	9.5	7.568	8.763	9.413
